id_municipio,nome_municipio,sigla_uf,nome_regiao,gap_meta_2024,alunos_no_teste,soma_proba,soma_peso,prob_media_alfabetizacao
2801702,Cristinápolis,SE,Nordeste,-7.22,35,11.59601789763732,36.4799998998642,0.31787329850514856
2933208,Vera Cruz,BA,Nordeste,-6.36,71,22.592654290002223,71.0,0.3182063984507355
2700508,Barra de Santo Antônio,AL,Nordeste,-7.06,31,10.778217548353767,33.869999289512634,0.3182231406686533
1506500,Santa Izabel do Pará,PA,Norte,-6.18,113,40.59701553539783,127.40999972820282,0.31863288299192644
2925105,Poções,BA,Nordeste,-5.78,54,17.226554684615582,54.0,0.3190102719373256
2708808,São Sebastião,AL,Nordeste,-6.61,40,13.166925224373566,41.269999504089355,0.3190435033339141
1501303,Barcarena,PA,Norte,-5.44,211,77.24387217889407,241.8999981880188,0.31932150788548425
1501782,Breu Branco,PA,Norte,-7.03,90,33.08197802322726,103.60000050067902,0.3193241106500809
2700409,Atalaia,AL,Nordeste,-6.96,65,21.218434070699956,66.3999992609024,0.3195547335373809
2501807,Bayeux,PB,Nordeste,13.74,80,31.93900198683795,99.74000000953674,0.3202225985941856
2915601,Itamaraju,BA,Nordeste,-5.77,88,28.29206789744157,88.0,0.32150077156183604
2400208,Assú,RN,Nordeste,-8.346666,52,22.70731631549947,70.37000000476837,0.3226846143805711
2500304,Alagoa Grande,PB,Nordeste,-7.9666667,49,18.861241959370393,58.4099999666214,0.32291117908147093
2701803,Carneiros,AL,Nordeste,-5.85,33,10.886734100564892,33.709999680519104,0.3229526610424829
2709103,Taquarana,AL,Nordeste,-5.78,31,10.587449651800382,32.72999978065491,0.32347845165761663
1300805,Borba,AM,Norte,4.33,56,20.519420044830255,63.13000011444092,0.3250343736358787
2704500,Maragogi,AL,Nordeste,-6.96,67,23.426368845816558,72.05999970436096,0.3250953225357678
4303103,Cachoeirinha,RS,Sul,-0.83666664,167,69.91565795498677,214.92995607852936,0.3252950832476863
2802908,Itabaiana,SE,Nordeste,-5.116667,109,40.573900254339435,124.71999990940094,0.32531991888881584
3302007,Itaguaí,RJ,Sudeste,-6.03,215,85.52285382800133,262.87000131607056,0.32534276790743444
2704708,Marechal Deodoro,AL,Nordeste,-6.2,141,49.440418836912826,151.67999792099,0.32595213287559716
1508100,Tucuruí,PA,Norte,-6.55,161,65.62933890925068,200.6899974346161,0.32701848496775443
2919801,Macaúbas,BA,Nordeste,-5.85,41,13.410285001614376,41.0,0.32708012199059455
4315602,Rio Grande,RS,Sul,-4.4266667,231,97.08855951635053,296.7315652370453,0.3271932308205597
2403608,Extremoz,RN,Nordeste,1.3433334,75,31.912306337795744,97.49999940395355,0.32730570802959125
4306767,Eldorado do Sul,RS,Sul,,50,24.356617896738545,74.2463241815567,0.3280514983769243
4317509,Santo Ângelo,RS,Sul,-3.4866667,85,30.11226885740692,91.72571432590485,0.32828601094799786
1506609,Santa Maria do Pará,PA,Norte,,38,13.560228340021194,41.299999833106995,0.32833482796169444
4301602,Bagé,RS,Sul,-6.4166665,128,50.96558822840917,155.18926000595093,0.328409248336224
2910404,Encruzilhada,BA,Nordeste,-6.05,31,10.183794308926176,31.0,0.32850949383632827
4216503,São Joaquim,SC,Sul,2.14,37,14.44301165971221,43.959999799728394,0.3285489473501191
2408201,Nísia Floresta,RN,Nordeste,-7.53,51,21.22390941886037,64.57999968528748,0.3286452388090607
2207702,Parnaíba,PI,Nordeste,-7.04,223,83.61340831020362,253.99999904632568,0.3291866481265373
1303569,Rio Preto da Eva,AM,Norte,-6.74,48,19.660805954695206,59.71999990940094,0.3292164431433675
1303502,Pauini,AM,Norte,-6.38,30,11.783373592669987,35.769999384880066,0.32942057017900883
2200509,Amarante,PI,Nordeste,-7.18,32,10.641890517203286,32.25999975204468,0.32987881584000295
4318507,São José do Norte,RS,Sul,2.3133333,31,12.912791426022604,39.139159202575684,0.3299200005597676
2706901,Pilar,AL,Nordeste,-6.52,69,23.745892996443494,71.95999920368195,0.32998739937768784
2706703,Penedo,AL,Nordeste,-7.9533334,102,38.064757011072544,115.3500006198883,0.32999355705689987
1505700,Ponta de Pedras,PA,Norte,-5.036667,39,13.9928506786467,42.37999951839447,0.33017581023268516
1503457,Ipixuna do Pará,PA,Norte,-6.3,55,23.216573598551022,70.26999926567078,0.33039097539727863
2706307,Palmeira dos Índios,AL,Nordeste,-10.946667,86,30.051384431100963,90.93999969959259,0.33045287585629485
2932002,Uauá,BA,Nordeste,-5.66,31,10.256804114400838,31.0,0.3308646488516399
4307807,Estrela,RS,Sul,-6.5033336,33,12.993144732355503,39.23838448524475,0.3311335291401067
4309209,Gravataí,RS,Sul,-4.5933332,345,145.36868916998162,437.5701562166214,0.3322180160248774
1304062,Tabatinga,AM,Norte,0.19666667,173,65.3800462110474,196.78000044822693,0.332249446397623
4303004,Cachoeira do Sul,RS,Sul,-2.1966667,71,28.603897451444233,85.99519944190979,0.33262202584652784
2930709,Simões Filho,BA,Nordeste,-5.96,200,66.5453579504718,200.0,0.332726789752359
1709302,Guaraí,TO,Norte,-6.67,38,15.340090371109717,46.10000038146973,0.332756838268396
2503001,Caaporã,PB,Nordeste,-6.51,36,13.37184481533169,40.14999973773956,0.3330471955834818
1505809,Portel,PA,Norte,-5.82,107,44.27926493331493,132.88000118732452,0.33322745738761134
4300406,Alegrete,RS,Sul,,92,38.60214140852932,115.82938408851624,0.33326725953260494
2403103,Currais Novos,RN,Nordeste,-13.973333,32,12.607801651347609,37.790000557899475,0.3336279826731075
4318309,São Gabriel,RS,Sul,-0.83666664,82,34.676417616399576,103.80105102062225,0.33406615131007084
4301636,Balneário Pinhal,RS,Sul,-3.59,32,13.60344444686666,40.69989359378815,0.33423783812896496
